real,predict,text,pred_error
1,1,bought furniture from M-59 store headboard broke before it could get off the truck told replacement between 3-11 now being told tomorrow 62 years old sleeping on the floor Art Van the next time,0
1,1,"I called Gettington on Monday October 18, 2016 and spoke to Steffy to advise my package is being delivered to the wrong address. She told me she would put in a request to reroute the package. The package was not rerouted and was delivered to my old address. I told her that I contacted UPS and they said Gettington could change the delivery address and she did nothing. I have been a customer for years and I will never order anything else from your company. I was told a supervisor would call me and that didn't happen either. You have lost a customer and I will tell everyone I know how I was treated with your company.",0
1,1,horrible customer service. my transaction was cancelled because the shipping and billing address was different. i am moving why would my billing address be the same at that time. used my roomplace charge and the pending charge for an order you cancelled has not dropped off and now i am waiting for days in order to reorder. horrible business,0
1,1,The sale guy come to my house and told me he giving me 30 free try for the system just call him to cancel it’s that easy yeah right before 30 days up I called him multiple time never answer his phone or answer his message called customer servers to cancel with them they saying that I didn’t have the 30 free try and tried to get in contact with the salesman but that man never get back to them either and now they saying I’m stuck with them for 5 years just the door bell and the garage camera 87$ a months is ridiculous so this is completely a scam ,0
1,1,Issues placing order on web site. Awesome store. Terrible web experience,0
1,1,It's bad business to list sale items you don't have readily in stock. To have to wait for weeks is really unacceptable. NFM needs to quickly turn around a growing negative perception regarding timely delivery of goods. Perhaps they have opened too soon post pandemic. GET IT TOGETHER!,0
1,1,"ADVERTISING 7 DAY EXPRESS DELIVERY 
3 WEEKS STILL NO SOFA ",0
1,1,Please add me to the list to sue.....The closed my account after a year and some months... my credit went down alot because of the amount I had with them..... I paid faithfully every month.,0
1,1,Your customer service reps are so rude & they don't speak English!!! I don't know if I'll continue to do business with this company.,0
1,1,This company will lie it's way into your home and promise you the world that they cannot deliver.  The equipment doesn't work more than half of the time. Do not let the sales people even talk to you. I promise you will regret any type of agreement you reach with these scum bags.,0
1,2,You offer free shipping with a promo code on orders over $100. I used this code on a $400 + order and still had to pay shipping!! Good come on but bad business!!!!,1
1,2,"I hope I can change this rating when I see my plants - and the issue I have is not with Bluestone but rather with the shipping.  My plants left Bluestone on May 2.  It is now May 9th, and the plants are still 150 miles from my house.  They have been stuck in the USPS system for a week now.  I can't imagine what they will look like when they finally get to me.  I know USPS would like to blame the coronavirus for this very slow service, but other items that are deemed nonessential get to me in just a couple days so I don't understand why my poor plants have had to stay in USPS custody for so long.  I live about 6 hours from Bluestone...it should not take over a week for the product to get to me.",1
1,2,"Cameras don’t come out of night mode unless you toggle them. 
They bombard you with notifications, emails etc wanting you to refer people.
And their equipment is RIDICULOUSLY OVERPRICED. Like double the cost of what comparable products are. ",1
1,2,"Shipping is ridiculous! But you can get free shipping codes. The thing that is highly irritating to me is that just because I didn't make a purchase for a few months, during a pandemic I might add, they closed my account and reported it to all 3 credit bureaus that ""account closed at credit grantor request"" so the credit bureaus take that as it being closed for non payment and put it as a derogatory mark on my credit. I called Gettington to see if they would please report a different reason since the account was paid off months before they closed it and to find out why they closed it without notification to me before hand. The woman told me they close all accounts that go more than 3 months with no purchase history and that I should have bought something and there is nothing they can do about how it is reported to the credit. I will never do business with this company or any other company that is sponsored by WebBank......I'm fixing to close my Fingerhut account now!!",1
1,2,I hate furniture shopping and it's hella expensive for no reason.,1
1,2,"Please please please exercise caution when you buy furniture from DFS. 
Please become familiar with the negative reviews before you proceed with your purchase. 
We purchased a suite from them and the bottom of the cuddler was ripped. 
It was faulty on delivery. Steve visited our home to repair it. He was great and replaced the ripped felt. 
Then the settee started making loud creaking noises everytime you moved on it. DFS don’t recognise this as a fault. But they sent Steve yet again to repair it. 
When I spoke to DFS Brigg there was nothing wrong with the sofa,a total lie. 
Now we have noticed that there is padding on top of the springs on one side of the sofa. 
Nothing on the other side. 
Numerous phone calls to DFS Brigg. 
We found that they are very careless with the truth. 

Asked the ombudsman to intervene. 
Just heard that they will do nothing as DFS have apparently fulfilled their obligations and repaired the suite. 
In our opinion this is partially correct as
there remains a problem with the sofa. 
Apparently (according to DFS) our furniture was manufactured using staples and glue to fit the frame together. Obviously something had come apart. 
As the repair was to drill and screw parts of the frame together in an attempt to fix the excessive movement which was causing the creaking noises. 

From our point of view the settee should have been replaced.
We bought a new suite. 
We didn’t buy a suite with a  settee that has been modified with holes drilled in it, and screws fitted in it.  All of this just emphasises that the settee was faulty and not fit for purpose. 

In addition. We were told that the settee was too long to be without additional support in the middle. 
So another repair was to install two extra feet front and back at mid length. Another case for the settee being not fit for purpose. 

We now have to decide if we want to take legal action against DFS as the ombudsman is not prepared to hold DFS accountable. 

What should have been a pleasant experience, has now become the worst experience  we have ever had purchasing furniture.

Purchase order is 02ZNK5211
Thank you for your rapid response Lorraine. 
I contacted the number you provided and had a very nice conversation with a pleasant and professional employee at your Glasgow office.
Will update on here in due course. 

04/09/24. Spoke to Dean and had a respectful conversation. DFS will not refund or replace. Repair man visiting on 12/09/24. This settee will not last. Not even a year old and the Springs already starting to wear through the seating cover. Hardly any padding on top of the springs. 
In comparison we had our last settees for 20 years. They were still in very good condition, and a friend of the family asked for them. 
12/09/24
Dean attended today. Not the same Dean as above. Additional padding (on top of the springs) and felt has been ordered for the settee. 
This will be installed at our home when it arrives. Expected delivery in 6 weeks time or less. 
So following yet another repair, if we are still unhappy we will have to go to the small claims court. 
23/09/24. Had a really pleasant conversation with Hailey. DFS attending on 4/10/24 to replace the padding and felt on the sofa.
4/10/24 Gavin arrived and replaced the top and bottom felt. Great guy and really professional. The top felt was laid on top of the old felt to provide additional cushioning against the springs. No additional foam padding was fitted. This is the first time we have been able to look inside the settee. There isn’t much foam padding on top of the springs. Poor quality wood/chipboard frame.  Thank goodness it has a 15 year warranty. I honestly cannot believe it will last 15 years. We will see. 
DFS Brigg management should learn some customer care skills from their repair personnel. ",1
1,2,Wasn’t installed 24 hrs. And front driveway camera was off line. Called support and was on the phone for over an hour running all kind of tests including unplugging and plugging back in. Then getting a ladder to climb up to try and reset it.  Not happen at all . We 78 and 79 years old we do not need ro be climbing up on ladders,1
